City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Kavaratti,IN,84.81,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
161,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Sumbe,AO,77.9,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
173,Blythe,US,86.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
178,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
179,San Policarpo,PH,79.93,overcast clouds,12.1791,125.5072,Agapita M. Nicart
180,Nhamunda,BR,85.37,few clouds,-2.1861,-56.7131,Pousada Da Praia
181,Ewa Beach,US,75.15,light rain,21.3156,-158.0072,Base Lodging
184,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
188,Maragogi,BR,80.33,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
193,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
194,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
199,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
201,Hambantota,LK,81.84,overcast clouds,6.1241,81.1185,Bungalow 63
202,Cape Canaveral,US,86.07,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
203,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
204,Huicungo,PE,88.11,scattered clouds,-7.2833,-76.8,Gran Pajaten Trek
206,San Cristobal,VE,86.18,overcast clouds,7.7669,-72.225,Pirineos
207,Jacareacanga,BR,88.18,few clouds,-6.2222,-57.7528,Casa do Ian😎
213,Auki,SB,77.0,overcast clouds,-8.7676,160.7034,Auki Motel
214,Faanui,PF,80.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
216,Perbaungan,ID,77.11,overcast clouds,3.5679,98.956,Bendang Lama
217,Parrita,CR,84.52,overcast clouds,9.5201,-84.3225,Beso del Viento
218,Caravelas,BR,82.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
222,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
231,Greenwood,US,82.62,broken clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
