City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
31,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.93,94,98,5.77,overcast clouds
32,Husavik,IS,66.0449,-17.3389,29.21,73,100,13.56,overcast clouds
33,Peno,RU,56.9262,32.7426,37.87,75,90,3.13,overcast clouds
34,Mar Del Plata,AR,-38.0023,-57.5575,55.87,71,75,13.8,light rain
35,Cape Town,ZA,-33.9258,18.4232,64.11,73,0,11.5,clear sky
36,Kapaa,US,22.0752,-159.319,74.12,84,20,21.85,few clouds
37,Mataura,NZ,-46.1927,168.8643,44.47,98,24,2.73,few clouds
38,Sitka,US,57.0531,-135.33,48.09,61,100,17.27,overcast clouds
39,Cherskiy,RU,68.75,161.3,10.62,92,20,6.78,few clouds
40,Wad Madani,SD,14.4012,33.5199,99.93,11,24,7.72,few clouds
41,Castro,BR,-24.7911,-50.0119,71.56,72,18,6.96,few clouds
42,Honiara,SB,-9.4333,159.95,77.5,86,100,1.03,moderate rain
43,Antofagasta,CL,-23.65,-70.4,70.21,55,18,9.06,few clouds
44,Beringovskiy,RU,63.05,179.3167,12.87,93,96,12.88,overcast clouds
45,Iisaku,EE,59.1014,27.3081,41.56,83,100,2.48,overcast clouds
46,Chokurdakh,RU,70.6333,147.9167,15.89,97,36,8.72,scattered clouds
47,Tuatapere,NZ,-46.1333,167.6833,47.82,93,34,6.22,scattered clouds
48,Eureka,US,40.8021,-124.1637,59.2,75,3,5.01,clear sky
49,Bredasdorp,ZA,-34.5322,20.0403,57.87,92,0,4.97,clear sky
50,Bud,US,39.447,-86.1758,69.22,73,39,15.9,scattered clouds
51,Albany,US,42.6001,-73.9662,65.95,29,20,1.01,few clouds
52,Saskylakh,RU,71.9167,114.0833,10.63,96,71,6.08,broken clouds
53,Paamiut,GL,61.994,-49.6678,34.59,91,91,1.77,overcast clouds
54,Twin Falls,US,42.3505,-114.6445,40.89,100,100,21.85,overcast clouds
55,Luena,AO,-11.7833,19.9167,61.57,60,99,4.36,overcast clouds
56,Mayo,US,38.8876,-76.5119,69.13,66,100,9.22,overcast clouds
57,Hobart,AU,-42.8794,147.3294,60.66,76,90,5.75,overcast clouds
58,Pangnirtung,CA,66.1451,-65.7125,26.6,80,100,2.3,light snow
59,Sudbury,CA,46.49,-80.99,63.57,27,89,5.01,overcast clouds
60,Bethel,US,41.3712,-73.414,71.19,35,0,4.61,clear sky
61,Talnakh,RU,69.4865,88.3972,20.21,92,100,6.69,overcast clouds
62,Stephenville,US,32.2207,-98.2023,79.81,34,75,16.11,broken clouds
63,Chuy,UY,-33.6971,-53.4616,65.26,47,3,10.18,clear sky
64,Severo-Kurilsk,RU,50.6789,156.125,32.83,88,74,10.8,broken clouds
65,Lujan,AR,-34.5703,-59.105,66.81,46,0,4.0,clear sky
66,Coruripe,BR,-10.1256,-36.1756,82.71,62,80,13.04,broken clouds
67,Zverinogolovskoye,RU,54.4586,64.8542,38.57,93,32,4.5,scattered clouds
68,Dilla,ET,6.41,38.31,63.7,94,100,3.49,light rain
69,Yeppoon,AU,-23.1333,150.7333,67.78,91,26,12.21,scattered clouds
70,Moyale,KE,3.5167,39.0584,66.13,91,100,5.23,overcast clouds
71,Zhigansk,RU,66.7697,123.3711,9.14,95,74,11.43,broken clouds
72,Butembo,CD,0.15,29.2833,58.06,97,97,1.92,light rain
73,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,43,2.68,scattered clouds
